,nsites,formula_pretty,volume,density,symmetry__crystal_system,symmetry__symbol,symmetry__number,symmetry__point_group,symmetry__symprec,symmetry__version,formation_energy_per_atom,energy_above_hull,is_stable,band_gap,is_gap_direct,is_metal,ordering,total_magnetization,universal_anisotropy,theoretical,compounds_contain,compounds_contain_count
0,44,Ti19N25,487.2834764308068,4.292536811308379,Trigonal,R-3m,166,-3m,0.1,2.0.2,-1.3091486230208318,0.3686094847727279,False,0.0,False,True,NM,1.1227397,,True,Ti N,2
1,6,Ti2N,75.78771813156467,4.808924824196139,Tetragonal,I4_1/amd,141,4/mmm,0.1,2.0.2,-1.4334219290277777,0.0208633333333327,False,0.0,False,True,NM,0.0,0.311,False,Ti N,2
2,6,Ti2N,74.00545978835848,4.924737176612915,Tetragonal,P4_2/mnm,136,4/mmm,0.1,2.0.2,-1.454285262361111,0.0,True,0.0,False,True,NM,0.0,0.73,False,Ti N,2
3,4,Ti3N,52.72115838228246,4.964112153023645,Tetragonal,I4/mmm,139,4/mmm,0.1,2.0.2,0.2448110598958308,1.335525006666666,False,0.0,False,True,FM,0.8113852,160.923,True,Ti N,2
4,4,Ti3N,50.52603564886124,5.1797798834999496,Cubic,Pm-3m,221,m-3m,0.1,2.0.2,0.2535943873958324,1.3443083341666675,False,0.0,False,True,NM,0.0663213,-4.972,True,Ti N,2
5,10,Ti3N2,111.86101639578948,5.095115792311816,Trigonal,R-3c,167,-3m,0.1,2.0.2,-1.6183914215000017,0.0312466489999998,False,0.0,False,True,NM,0.0,,True,Ti N,2
6,10,Ti3N2,116.01075158621794,4.912862156217144,Hexagonal,P6_3/mmc,194,6/mmm,0.1,2.0.2,-1.5135750895000002,0.1360629810000002,False,0.0,False,True,FM,1.5621497,,True,Ti N,2
7,28,Ti3N4,399.49245507742097,3.3191090992211034,Trigonal,P31c,159,3m,0.1,2.0.2,-1.5427413416071405,0.1224020435714301,False,1.7589,True,False,NM,0.0011798,,True,Ti N,2
8,28,Ti3N4,283.30587510932725,4.680309020086367,Orthorhombic,Pnma,62,mmm,0.1,2.0.2,-1.5605647801785685,0.1045786050000021,False,0.0977000000000005,True,False,NM,0.0001775,,True,Ti N,2
9,7,Ti3N4,72.79454305827758,4.553772120171544,Tetragonal,I4/mmm,139,4/mmm,0.1,2.0.2,-1.5147752816071411,0.150368103571429,False,0.0,False,True,NM,0.000504,,True,Ti N,2
10,13,Ti8N5,150.76411955227127,4.989075338097825,Tetragonal,P-4m2,115,-42m,0.1,2.0.2,-1.5774741636217957,0.0270824896153865,False,0.0,False,True,NM,5.24e-05,,True,Ti N,2
11,44,TiN,480.6525037448127,4.702693308328239,Trigonal,R3m,160,3m,0.1,2.0.2,-1.8681855265719696,0.0744817561363646,False,0.0,False,True,FM,0.5771385,,True,Ti N,2
